article_id,instrument,evaluation_timestamp,prediction,realized,score,correct,primary_error_category,secondary_error_category,news,momentum,volume
79,US:AAPL,2020-06-02 00:00:00,NEUTRAL,BULLISH,0.0622450774001918,False,NEUTRAL_BAND_MISS,INSUFFICIENT_DIRECTIONAL_EVIDENCE,-0.10954861638777859,0.41997032492733477,0.19967972260468492
80,US:AAPL,2020-06-02 00:00:00,NEUTRAL,BULLISH,0.0622450774001918,False,NEUTRAL_BAND_MISS,INSUFFICIENT_DIRECTIONAL_EVIDENCE,-0.10954861638777859,0.41997032492733477,0.19967972260468492
114,US:AMZN,2020-06-02 00:00:00,NEUTRAL,BULLISH,0.1346066060253264,False,NEUTRAL_BAND_MISS,INSUFFICIENT_DIRECTIONAL_EVIDENCE,0.139004820196955,0.4139680349150436,0.09412718429111872
115,US:AMZN,2020-06-02 00:00:00,NEUTRAL,BULLISH,0.1346066060253264,False,NEUTRAL_BAND_MISS,INSUFFICIENT_DIRECTIONAL_EVIDENCE,0.139004820196955,0.4139680349150436,0.09412718429111872
218,US:TSLA,2020-06-02 00:00:00,BULLISH,BULLISH,0.3759028497133578,True,CORRECT,,0.5102607837045577,1.0,0.1376145418539242
219,US:TSLA,2020-06-02 00:00:00,BULLISH,BULLISH,0.3759028497133578,True,CORRECT,,0.5102607837045577,1.0,0.1376145418539242
220,US:TSLA,2020-06-02 00:00:00,BULLISH,BULLISH,0.3759028497133578,True,CORRECT,,0.5102607837045577,1.0,0.1376145418539242
221,US:TSLA,2020-06-02 00:00:00,BULLISH,BULLISH,0.3759028497133578,True,CORRECT,,0.5102607837045577,1.0,0.1376145418539242
222,US:TSLA,2020-06-02 00:00:00,BULLISH,BULLISH,0.3759028497133578,True,CORRECT,,0.5102607837045577,1.0,0.1376145418539242
223,US:TSLA,2020-06-02 00:00:00,BULLISH,BULLISH,0.3759028497133578,True,CORRECT,,0.5102607837045577,1.0,0.1376145418539242
186,US:NVDA,2020-06-02 03:14:40,NEUTRAL,BEARISH,-0.0135247719390671,False,NEUTRAL_BAND_MISS,INSUFFICIENT_DIRECTIONAL_EVIDENCE,-0.15853734613865517,0.1828863344347006,0.0
187,US:NVDA,2020-06-02 09:20:06,NEUTRAL,BEARISH,0.0060370177240376,False,NEUTRAL_BAND_MISS,INSUFFICIENT_DIRECTIONAL_EVIDENCE,-0.0975655342017051,0.1828863344347006,0.0
146,US:GOOGL,2020-06-04 09:07:04,BEARISH,BULLISH,-0.2913786087268835,False,NEWS_MARKET_CONFLICT,,-1.0,0.16929416973843295,-0.08759145797394563
147,US:GOOGL,2020-06-04 09:08:37,BEARISH,BULLISH,-0.2913786087268835,False,NEWS_MARKET_CONFLICT,,-1.0,0.16929416973843295,-0.08759145797394563
